case_label,encoder_depth,quantization_bits,ldpc_code_rate,qam_order,snr_db,semantic_score,bit_error_rate,block_error_rate,classifier_agreement,original_accuracy,recovered_accuracy,config_id,channel_model,dataset,batch_size,feature_dim,payload_bits,header_bits,payload_bits_with_header,coded_bits,coded_bits_with_header,qam_bits_per_symbol,qam_symbols,qam_symbols_with_header,payload_bytes,payload_bytes_with_header,coded_bytes,coded_bytes_with_header,ldpc_padding_bits,bit_errors,block_errors,ldpc_nonconvergence_rate,ldpc_blocks,ldpc_converged_blocks,ldpc_max_iterations_used,encoding_latency_ms,decoding_latency_ms,previous_snr_db,previous_semantic_score,semantic_jump
best_semantic,2,8,0.5,4,10.0,0.9885916113853456,0.0,0.0,0.7458,0.3376,0.3115,cifar10_vitb16_10000_d2_q8_r12_qam4_snr10,awgn,cifar10_vitb16_layer_features_test,10000,512,40960000,8,41040000,81920160,82080216,2,40960080,41040108,5120000.0,5130000.0,10240020.0,10260027.0,80,0,0,0.0,126420,126420,2,0.0,227017.84666300047,,,
best_recovered_accuracy,12,8,0.5,4,10.0,0.9884089827537536,0.0,0.0,0.9918,0.9434,0.9429,cifar10_vitb16_10000_d12_q8_r12_qam4_snr10,awgn,cifar10_vitb16_layer_features_test,10000,512,40960000,8,41040000,81920160,82080216,2,40960080,41040108,5120000.0,5130000.0,10240020.0,10260027.0,80,0,0,0.0,126420,126420,2,0.0,123154.14760098793,,,
worst_outage,3,8,0.75,4,-10.0,0.0057568158954381,0.37576953125,1.0,0.1169,0.3841,0.1001,cifar10_vitb16_10000_d3_q8_r34_qam4_snr-10,awgn,cifar10_vitb16_layer_features_test,10000,512,40960000,8,41040000,54613440,54720360,2,27306720,27360180,5120000.0,5130000.0,6826680.0,6840045.0,80,15391520,84280,1.0,84280,0,25,0.0,674836.3558879937,,,
largest_semantic_cliff_after_prev_snr,2,8,0.5,4,5.0,0.9875341057777404,3.2958984375e-06,0.0003005853504192,0.744,0.3376,0.3112,cifar10_vitb16_10000_d2_q8_r12_qam4_snr5,awgn,cifar10_vitb16_layer_features_test,10000,512,40960000,8,41040000,81920160,82080216,2,40960080,41040108,5120000.0,5130000.0,10240020.0,10260027.0,80,135,38,0.0001740230976111,126420,126398,25,0.0,2185876.2053520023,0.0,0.0330530926585197,0.9544810131192206
layer12_q2_clean_reference,12,2,0.5,4,20.0,0.5558587312698364,0.0,0.0,0.9561,0.9434,0.9258,cifar10_vitb16_10000_d12_q2_r12_qam4_snr20,awgn,cifar10_vitb16_layer_features_test,10000,512,10240000,8,10320000,20480040,20640096,2,10240020,10320048,1280000.0,1290000.0,2560005.0,2580012.0,20,0,0,0.0,31605,31605,1,0.0,41215.51903900399,,,
layer12_q4_clean_reference,12,4,0.5,4,20.0,0.6134816408157349,0.0,0.0,0.9581,0.9434,0.9279,cifar10_vitb16_10000_d12_q4_r12_qam4_snr20,awgn,cifar10_vitb16_layer_features_test,10000,512,20480000,8,20560000,40960080,41120136,2,20480040,20560068,2560000.0,2570000.0,5120010.0,5140017.0,40,0,0,0.0,63210,63210,1,0.0,47455.28259398998,,,
layer12_q8_clean_reference,12,8,0.5,4,20.0,0.9884089827537536,0.0,0.0,0.9918,0.9434,0.9429,cifar10_vitb16_10000_d12_q8_r12_qam4_snr20,awgn,cifar10_vitb16_layer_features_test,10000,512,40960000,8,41040000,81920160,82080216,2,40960080,41040108,5120000.0,5130000.0,10240020.0,10260027.0,80,0,0,0.0,126420,126420,1,0.0,74105.43028899701,,,
layer12_q8_256qam_high_snr_stress,12,8,0.5,256,20.0,0.9878933429718018,3.1982421875e-06,0.0002214839424141,0.9917,0.9434,0.9428,cifar10_vitb16_10000_d12_q8_r12_qam256_snr20,awgn,cifar10_vitb16_layer_features_test,10000,512,40960000,8,41040000,81920160,82080216,8,10240020,10260027,5120000.0,5130000.0,10240020.0,10260027.0,80,131,28,0.0001740230976111,126420,126398,25,0.0,1728131.7584170029,,,
